iter	Passed	Remaining
0	3	3184
1	5	2967
2	8	2667
3	11	2768
4	14	2807
5	17	2949
6	20	2872
7	22	2830
8	25	2801
9	27	2751
10	30	2754
11	33	2747
12	36	2770
13	38	2734
14	41	2716
15	44	2711
16	46	2684
17	48	2642
18	51	2653
19	54	2649
20	56	2643
21	59	2642
22	61	2610
23	63	2597
24	66	2574
25	68	2554
26	70	2550
27	75	2611
28	77	2590
29	79	2581
30	81	2562
31	84	2550
32	88	2589
33	90	2579
34	92	2561
35	95	2550
36	97	2542
37	99	2525
38	102	2530
39	105	2540
40	108	2526
41	110	2511
42	112	2503
43	115	2502
44	117	2494
45	120	2496
46	123	2495
47	125	2484
48	127	2478
49	130	2475
50	133	2489
51	138	2519
52	141	2522
53	143	2519
54	146	2518
55	149	2523
56	152	2522
57	155	2524
58	158	2534
59	161	2531
60	166	2562
61	169	2559
62	171	2549
63	173	2543
64	176	2531
65	178	2522
66	180	2517
67	183	2519
68	186	2514
69	189	2513
70	192	2516
71	195	2517
72	198	2517
73	201	2520
74	204	2517
75	206	2510
76	209	2505
77	213	2521
78	215	2517
79	218	2513
80	220	2504
81	223	2503
82	225	2487
83	228	2488
84	230	2482
85	233	2480
86	236	2479
87	239	2479
88	242	2482
89	245	2479
90	247	2472
91	250	2468
92	252	2464
93	255	2466
94	258	2463
95	261	2461
96	264	2458
97	266	2454
98	269	2456
99	273	2463
100	276	2462
101	279	2459
102	281	2455
103	284	2453
104	287	2452
105	290	2449
106	293	2448
107	296	2448
108	299	2446
109	301	2442
110	304	2438
111	307	2436
112	310	2435
113	314	2445
114	318	2448
115	321	2451
116	324	2445
117	327	2444
118	330	2445
119	334	2451
120	337	2449
121	339	2443
122	342	2439
123	345	2438
124	348	2436
125	350	2434
126	353	2426
127	356	2426
128	359	2425
129	364	2438
130	367	2436
131	369	2432
132	373	2433
133	376	2429
134	379	2432
135	383	2436
136	387	2438
137	390	2436
138	393	2439
139	398	2446
140	402	2450
141	404	2445
142	408	2445
143	412	2450
144	415	2449
145	421	2464
146	425	2467
147	428	2468
148	432	2470
149	436	2473
150	444	2496
151	447	2496
152	450	2495
153	455	2503
154	459	2502
155	473	2561
156	477	2564
157	481	2563
158	484	2562
159	490	2576
160	492	2568
161	497	2574
162	506	2599
163	512	2612
164	518	2624
165	523	2629
166	527	2628
167	529	2624
168	533	2624
169	537	2625
170	540	2621
171	543	2618
172	547	2615
173	550	2614
174	554	2612
175	557	2610
176	560	2607
177	564	2607
178	570	2616
179	583	2659
180	587	2657
181	590	2655
182	596	2661
183	601	2668
184	605	2667
185	608	2663
186	613	2666
187	618	2670
188	659	2830
189	664	2833
190	668	2831
191	672	2830
192	680	2845
193	685	2848
194	690	2850
195	719	2952
196	725	2957
197	730	2956
198	745	2998
199	750	3002
200	755	3004
201	760	3003
202	766	3008
203	771	3008
204	776	3011
205	781	3010
206	785	3009
207	810	3086
208	816	3090
209	821	3088
210	827	3094
211	832	3094
212	837	3093
213	841	3092
214	846	3090
215	851	3092
216	856	3091
217	861	3089
218	867	3094
219	872	3093
220	877	3092
221	889	3115
222	893	3114
223	898	3113
224	904	3114
225	908	3112
226	913	3111
227	918	3109
228	926	3120
229	931	3119
230	937	3120
231	941	3117
232	946	3114
233	956	3131
234	962	3134
235	967	3133
236	971	3128
237	976	3127
238	986	3139
239	990	3136
240	994	3132
241	998	3127
242	1002	3123
243	1006	3116
244	1009	3110
245	1013	3104
246	1016	3099
247	1022	3100
248	1027	3099
249	1032	3096
250	1038	3097
251	1045	3103
252	1051	3103
253	1058	3109
254	1065	3113
255	1070	3111
256	1076	3112
257	1083	3115
258	1088	3114
259	1093	3113
260	1098	3111
261	1103	3109
262	1108	3106
263	1112	3101
264	1118	3101
265	1123	3099
266	1127	3095
267	1132	3092
268	1137	3091
269	1141	3087
270	1146	3083
271	1151	3081
272	1157	3081
273	1163	3082
274	1169	3082
275	1174	3081
276	1179	3079
277	1184	3076
278	1188	3072
279	1193	3069
280	1199	3068
281	1203	3065
282	1209	3063
283	1214	3061
284	1219	3058
285	1225	3058
286	1230	3057
287	1236	3055
288	1240	3052
289	1245	3048
290	1249	3044
291	1255	3044
292	1261	3042
293	1265	3039
294	1271	3038
295	1277	3037
296	1283	3038
297	1289	3036
298	1295	3038
299	1301	3036
300	1309	3040
301	1313	3036
302	1319	3036
303	1324	3032
304	1330	3030
305	1337	3033
306	1343	3031
307	1348	3028
308	1352	3025
309	1356	3020
310	1362	3017
311	1367	3014
312	1372	3011
313	1378	3011
314	1383	3009
315	1389	3008
316	1395	3005
317	1401	3005
318	1406	3001
319	1412	3000
320	1418	3000
321	1424	2999
322	1429	2995
323	1435	2995
324	1449	3009
325	1453	3005
326	1459	3003
327	1466	3004
328	1482	3023
329	1489	3023
330	1494	3020
331	1498	3015
332	1502	3010
333	1507	3005
334	1511	3000
335	1516	2997
336	1521	2993
337	1529	2995
338	1541	3006
339	1547	3003
340	1555	3005
341	1560	3002
342	1565	2998
343	1570	2994
344	1574	2989
345	1583	2992
346	1587	2987
347	1591	2982
348	1596	2978
349	1600	2973
350	1604	2967
351	1608	2961
352	1612	2956
353	1616	2949
354	1620	2944
355	1625	2940
356	1630	2936
357	1634	2931
358	1639	2926
359	1642	2920
360	1648	2917
361	1652	2911
362	1656	2907
363	1662	2904
364	1666	2899
365	1670	2894
366	1676	2891
367	1680	2886
368	1685	2882
369	1693	2883
370	1699	2881
371	1704	2878
372	1710	2875
373	1715	2871
374	1721	2868
375	1726	2864
376	1734	2865
377	1739	2862
378	1745	2859
379	1751	2856
380	1756	2853
381	1760	2847
382	1764	2842
383	1769	2837
384	1773	2832
385	1777	2827
386	1782	2823
387	1786	2818
388	1791	2813
389	1795	2808
390	1799	2803
391	1804	2799
392	1809	2795
393	1815	2791
394	1820	2788
395	1825	2784
396	1831	2781
397	1837	2778
398	1842	2774
399	1848	2773
400	1853	2768
401	1860	2768
402	1867	2766
403	1872	2762
404	1876	2757
405	1880	2751
406	1884	2746
407	1889	2741
408	1894	2737
409	1898	2732
410	1905	2730
411	1909	2725
412	1914	2720
413	1919	2716
414	1923	2711
415	1927	2706
416	1932	2701
417	1936	2696
418	1940	2691
419	1944	2685
420	1949	2681
421	1954	2676
422	1958	2671
423	1963	2667
424	1969	2665
425	1974	2660
426	1978	2655
427	1982	2650
428	1987	2644
429	1991	2639
430	1996	2635
431	2001	2631
432	2005	2626
433	2011	2622
434	2016	2619
435	2022	2616
436	2028	2613
437	2032	2608
438	2036	2602
439	2042	2599
440	2046	2593
441	2051	2589
442	2055	2584
443	2062	2582
444	2066	2576
445	2070	2571
446	2074	2566
447	2079	2561
448	2082	2556
449	2087	2551
450	2090	2545
451	2094	2539
452	2098	2533
453	2102	2528
454	2106	2523
455	2111	2518
456	2115	2513
457	2120	2509
458	2125	2505
